# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 78286.241 ops/s
# Warmup Iteration   2: 81580.147 ops/s
# Warmup Iteration   3: 81109.747 ops/s
# Warmup Iteration   4: 81183.719 ops/s
# Warmup Iteration   5: 80579.680 ops/s
# Warmup Iteration   6: 83157.315 ops/s
# Warmup Iteration   7: 83037.256 ops/s
# Warmup Iteration   8: 82926.468 ops/s
# Warmup Iteration   9: 82618.063 ops/s
# Warmup Iteration  10: 80922.564 ops/s
# Warmup Iteration  11: 81204.638 ops/s
# Warmup Iteration  12: 81264.252 ops/s
# Warmup Iteration  13: 80465.501 ops/s
# Warmup Iteration  14: 80543.633 ops/s
# Warmup Iteration  15: 83013.254 ops/s
# Warmup Iteration  16: 82932.487 ops/s
# Warmup Iteration  17: 78908.471 ops/s
# Warmup Iteration  18: 82015.690 ops/s
# Warmup Iteration  19: 81249.864 ops/s
# Warmup Iteration  20: 82903.773 ops/s
Iteration  14: 77182.255 ops/s
Iteration  15: 79506.158 ops/s
Iteration  16: 78022.158 ops/s
Iteration  17: 77803.837 ops/s
Iteration  18: 77423.146 ops/s
Iteration  19: 79407.925 ops/s
Iteration  20: 79357.789 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 78034.332 ops/s
# Warmup Iteration   2: 81301.321 ops/s
# Warmup Iteration   3: 81095.118 ops/s
# Warmup Iteration   4: 83129.170 ops/s
# Warmup Iteration   5: 81422.017 ops/s
# Warmup Iteration   6: 81454.179 ops/s
# Warmup Iteration   7: 81990.792 ops/s
# Warmup Iteration   8: 81474.377 ops/s
# Warmup Iteration   9: 83396.002 ops/s
# Warmup Iteration  10: 81183.150 ops/s
# Warmup Iteration  11: 80735.895 ops/s
# Warmup Iteration  12: 81379.271 ops/s
# Warmup Iteration  13: 81076.988 ops/s
# Warmup Iteration  14: 80933.834 ops/s
# Warmup Iteration  15: 82921.722 ops/s
# Warmup Iteration  16: 83036.282 ops/s
# Warmup Iteration  17: 82008.120 ops/s
# Warmup Iteration  18: 80726.704 ops/s
# Warmup Iteration  19: 82252.495 ops/s
# Warmup Iteration  20: 82642.245 ops/s
Iteration   1: 81646.270 ops/s
Iteration   2: 82779.589 ops/s
Iteration   3: 82145.845 ops/s
Iteration   4: 83341.768 ops/s
Iteration   5: 83191.690 ops/s
Iteration   6: 83507.161 ops/s
Iteration   7: 83245.345 ops/s
Iteration   8: 82567.823 ops/s
Iteration   9: 83454.866 ops/s
Iteration  10: 81537.425 ops/s
Iteration  11: 83213.762 ops/s
Iteration  12: 82927.635 ops/s
Iteration  13: 80606.413 ops/s
Iteration  14: 80393.750 ops/s
Iteration  15: 81631.405 ops/s
Iteration  16: 79542.045 ops/s
Iteration  17: 81385.723 ops/s
Iteration  18: 81696.817 ops/s
Iteration  19: 81901.960 ops/s
Iteration  20: 81266.658 ops/s

# Run progress: 10.00% complete, ETA 00:24:10
# Fork: 5 of 10
# Warmup Iteration   1: 75882.840 ops/s
# Warmup Iteration   2: 78549.462 ops/s
# Warmup Iteration   3: 79284.624 ops/s
# Warmup Iteration   4: 79584.658 ops/s
# Warmup Iteration   5: 78935.878 ops/s
# Warmup Iteration   6: 79566.113 ops/s
# Warmup Iteration   7: 78358.863 ops/s
# Warmup Iteration   8: 79396.769 ops/s
# Warmup Iteration   9: 77126.294 ops/s
# Warmup Iteration  10: 78793.297 ops/s
# Warmup Iteration  11: 77660.167 ops/s
# Warmup Iteration  12: 78521.189 ops/s
# Warmup Iteration  13: 79148.379 ops/s
# Warmup Iteration  14: 79577.860 ops/s
# Warmup Iteration  15: 79901.372 ops/s
# Warmup Iteration  16: 78298.880 ops/s
# Warmup Iteration  17: 76181.149 ops/s
# Warmup Iteration  18: 78805.696 ops/s
# Warmup Iteration  19: 78772.058 ops/s
# Warmup Iteration  20: 79876.594 ops/s
Iteration   1: 77849.676 ops/s
Iteration   2: 79675.698 ops/s
Iteration   3: 76504.916 ops/s
Iteration   4: 77883.738 ops/s
Iteration   5: 80442.623 ops/s
Iteration   6: 79319.100 ops/s
Iteration   7: 79780.765 ops/s
Iteration   8: 79337.658 ops/s
Iteration   9: 79822.591 ops/s
Iteration  10: 79939.857 ops/s
Iteration  11: 80059.547 ops/s
Iteration  12: 79360.791 ops/s
Iteration  13: 79380.493 ops/s
Iteration  14: 79820.959 ops/s
Iteration  15: 79508.556 ops/s
Iteration  16: 79849.932 ops/s
Iteration  17: 79522.983 ops/s
Iteration  18: 79424.391 ops/s
Iteration  19: 78365.633 ops/s
Iteration  20: 79948.090 ops/s

# Run progress: 12.50% complete, ETA 00:23:29
# Fork: 6 of 10
# Warmup Iteration   1: 75784.522 ops/s
# Warmup Iteration   2: 78646.958 ops/s
# Warmup Iteration   3: 79149.938 ops/s
# Warmup Iteration   4: 81005.940 ops/s
# Warmup Iteration   5: 81209.496 ops/s
# Warmup Iteration   6: 79942.151 ops/s
# Warmup Iteration   7: 80740.608 ops/s
# Warmup Iteration   8: 79279.204 ops/s
# Warmup Iteration   9: 81277.540 ops/s
# Warmup Iteration  10: 81007.209 ops/s
# Warmup Iteration  11: 80540.483 ops/s
# Warmup Iteration  12: 80137.359 ops/s
# Warmup Iteration  13: 78233.691 ops/s
# Warmup Iteration  14: 79673.966 ops/s
# Warmup Iteration  15: 78736.528 ops/s
# Warmup Iteration  16: 79896.819 ops/s
# Warmup Iteration  17: 80497.630 ops/s
# Warmup Iteration  18: 80263.216 ops/s
# Warmup Iteration  19: 80395.009 ops/s
# Warmup Iteration  20: 80310.741 ops/s
Iteration   1: 80552.217 ops/s
Iteration   2: 76987.651 ops/s
Iteration   3: 81312.859 ops/s
Iteration   4: 78826.807 ops/s
Iteration   5: 81522.730 ops/s
Iteration   6: 80075.665 ops/s
Iteration   7: 78276.369 ops/s
Iteration   8: 81183.626 ops/s
Iteration   9: 81031.568 ops/s
Iteration  10: 81336.165 ops/s
Iteration  11: 80940.351 ops/s
Iteration  12: 80779.099 ops/s
Iteration  13: 80527.485 ops/s
Iteration  14: 80686.981 ops/s
Iteration  15: 80673.557 ops/s
Iteration  16: 80079.745 ops/s
Iteration  17: 80955.350 ops/s
Iteration  18: 81354.442 ops/s
Iteration  19: 81553.829 ops/s
Iteration  20: 81217.000 ops/s

# Run progress: 15.00% complete, ETA 00:22:49
# Fork: 7 of 10
# Warmup Iteration   1: 72689.667 ops/s
# Warmup Iteration   2: 77834.410 ops/s
# Warmup Iteration   3: 78556.878 ops/s
# Warmup Iteration   4: 79590.905 ops/s
# Warmup Iteration   5: 78328.113 ops/s
# Warmup Iteration   6: 76795.668 ops/s
# Warmup Iteration   7: 76136.101 ops/s
# Warmup Iteration   8: 77881.753 ops/s
# Warmup Iteration   9: 79589.382 ops/s
# Warmup Iteration  10: 79393.642 ops/s
# Warmup Iteration  11: 79520.841 ops/s
# Warmup Iteration  12: 78105.872 ops/s
# Warmup Iteration  13: 79116.568 ops/s
# Warmup Iteration  14: 79797.790 ops/s
# Warmup Iteration  15: 79838.918 ops/s
# Warmup Iteration  16: 78955.043 ops/s
# Warmup Iteration  17: 78666.078 ops/s
# Warmup Iteration  18: 79196.525 ops/s
# Warmup Iteration  19: 79506.430 ops/s
# Warmup Iteration  20: 79791.900 ops/s
Iteration   1: 79321.711 ops/s
Iteration   2: 79004.323 ops/s
Iteration   3: 79789.333 ops/s
Iteration   4: 79653.163 ops/s
Iteration   5: 79736.816 ops/s
Iteration   6: 78066.574 ops/s
Iteration   7: 78275.192 ops/s
Iteration   8: 80039.941 ops/s
Iteration   9: 78666.832 ops/s
Iteration  10: 79710.773 ops/s
Iteration  11: 78779.098 ops/s
Iteration  12: 77063.509 ops/s
Iteration  13: 79498.141 ops/s
Iteration  14: 79497.619 ops/s
Iteration  15: 79633.370 ops/s
Iteration  16: 78863.617 ops/s
Iteration  17: 79136.080 ops/s
Iteration  18: 79622.843 ops/s
Iteration  19: 78430.678 ops/s
Iteration  20: 78040.826 ops/s

# Run progress: 17.50% complete, ETA 00:22:09
# Fork: 8 of 10
# Warmup Iteration   1: 74284.173 ops/s
# Warmup Iteration   2: 79730.244 ops/s
# Warmup Iteration   3: 79324.837 ops/s
# Warmup Iteration   4: 80690.581 ops/s
# Warmup Iteration   5: 78750.228 ops/s
# Warmup Iteration   6: 79247.661 ops/s
# Warmup Iteration   7: 80570.003 ops/s
# Warmup Iteration   8: 81181.812 ops/s
# Warmup Iteration   9: 81197.361 ops/s
# Warmup Iteration  10: 80997.058 ops/s
# Warmup Iteration  11: 81077.819 ops/s
# Warmup Iteration  12: 80608.453 ops/s
# Warmup Iteration  13: 81022.891 ops/s
# Warmup Iteration  14: 81204.933 ops/s
# Warmup Iteration  15: 81159.890 ops/s
# Warmup Iteration  16: 80965.856 ops/s
# Warmup Iteration  17: 80982.658 ops/s
# Warmup Iteration  18: 81666.747 ops/s
# Warmup Iteration  19: 81199.301 ops/s
# Warmup Iteration  20: 81674.320 ops/s
Iteration   1: 81025.693 ops/s
Iteration   2: 77567.928 ops/s
Iteration   3: 79125.698 ops/s
Iteration   4: 81469.865 ops/s
Iteration   5: 81319.226 ops/s
Iteration   6: 81426.212 ops/s
Iteration   7: 80951.247 ops/s
Iteration   8: 81380.938 ops/s
Iteration   9: 81315.309 ops/s
Iteration  10: 81463.164 ops/s
Iteration  11: 81387.870 ops/s
Iteration  12: 80823.517 ops/s
Iteration  13: 80765.318 ops/s
Iteration  14: 80038.179 ops/s
Iteration  15: 81358.653 ops/s
Iteration  16: 81090.852 ops/s
Iteration  17: 80532.958 ops/s
Iteration  18: 80671.906 ops/s
Iteration  19: 81138.262 ops/s
Iteration  20: 81330.312 ops/s

# Run progress: 20.00% complete, ETA 00:21:28
# Fork: 9 of 10
# Warmup Iteration   1: 76350.673 ops/s
# Warmup Iteration   2: 81352.973 ops/s
# Warmup Iteration   3: 77710.153 ops/s
# Warmup Iteration   4: 79238.722 ops/s
# Warmup Iteration   5: 81091.903 ops/s
# Warmup Iteration   6: 80669.469 ops/s
# Warmup Iteration   7: 78522.332 ops/s
# Warmup Iteration   8: 80999.850 ops/s
# Warmup Iteration   9: 81285.801 ops/s
# Warmup Iteration  10: 80668.593 ops/s
# Warmup Iteration  11: 80495.872 ops/s
# Warmup Iteration  12: 78106.893 ops/s
# Warmup Iteration  13: 78406.341 ops/s
# Warmup Iteration  14: 81008.968 ops/s
# Warmup Iteration  15: 80974.545 ops/s
# Warmup Iteration  16: 80164.641 ops/s
# Warmup Iteration  17: 79280.730 ops/s
# Warmup Iteration  18: 78836.101 ops/s
# Warmup Iteration  19: 80631.463 ops/s
# Warmup Iteration  20: 80780.711 ops/s
Iteration   1: 80684.036 ops/s
Iteration   2: 79866.054 ops/s
Iteration   3: 79414.210 ops/s
Iteration   4: 80916.235 ops/s
Iteration   5: 80296.342 ops/s
Iteration   6: 80818.365 ops/s
Iteration   7: 80517.477 ops/s
Iteration   8: 80394.353 ops/s
Iteration   9: 81084.895 ops/s
Iteration  10: 81042.297 ops/s
Iteration  11: 80150.639 ops/s
Iteration  12: 78088.475 ops/s
Iteration  13: 78387.772 ops/s
Iteration  14: 78359.940 ops/s
Iteration  15: 80852.505 ops/s
Iteration  16: 80505.472 ops/s
Iteration  17: 80136.358 ops/s
Iteration  18: 80875.057 ops/s
Iteration  19: 81022.507 ops/s
Iteration  20: 80763.524 ops/s

# Run progress: 22.50% complete, ETA 00:20:48
# Fork: 10 of 10
# Warmup Iteration   1: 72882.046 ops/s
# Warmup Iteration   2: 78851.953 ops/s
# Warmup Iteration   3: 77506.183 ops/s
# Warmup Iteration   4: 79500.297 ops/s
# Warmup Iteration   5: 78275.943 ops/s
# Warmup Iteration   6: 79070.176 ops/s
# Warmup Iteration   7: 79354.756 ops/s
# Warmup Iteration   8: 77788.121 ops/s
# Warmup Iteration   9: 78102.437 ops/s
# Warmup Iteration  10: 79222.538 ops/s
# Warmup Iteration  11: 78626.488 ops/s
# Warmup Iteration  12: 79364.781 ops/s
# Warmup Iteration  13: 79005.190 ops/s
# Warmup Iteration  14: 79254.729 ops/s
# Warmup Iteration  15: 79363.681 ops/s
# Warmup Iteration  16: 78885.088 ops/s
# Warmup Iteration  17: 77827.633 ops/s
# Warmup Iteration  18: 79441.829 ops/s
# Warmup Iteration  19: 78915.240 ops/s
# Warmup Iteration  20: 78920.901 ops/s
Iteration   1: 78719.951 ops/s
Iteration   2: 79453.638 ops/s
Iteration   3: 79378.452 ops/s
Iteration   4: 79237.132 ops/s
Iteration   5: 79202.755 ops/s
Iteration   6: 79092.751 ops/s
Iteration   7: 79167.357 ops/s
Iteration   8: 77756.459 ops/s
Iteration   9: 77900.131 ops/s
Iteration  10: 78200.304 ops/s
Iteration  11: 78441.468 ops/s
Iteration  12: 79046.719 ops/s
Iteration  13: 79140.164 ops/s
Iteration  14: 79239.340 ops/s
Iteration  15: 79271.452 ops/s
Iteration  16: 78910.496 ops/s
Iteration  17: 79377.160 ops/s
Iteration  18: 79026.946 ops/s
Iteration  19: 79393.227 ops/s
Iteration  20: 78803.132 ops/s


Result "com.github.arnaudroger.re2j.JavaRegex.testExp1":
  79878.626 ±(99.9%) 389.225 ops/s [Average]
  (min, avg, max) = (74725.955, 79878.626, 83507.161), stdev = 1648.002
  CI (99.9%): [79489.401, 80267.850] (assumes normal distribution)


# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp2

# Run progress: 25.00% complete, ETA 00:20:08
# Fork: 1 of 10
# Warmup Iteration   1: 32913.037 ops/s
# Warmup Iteration   2: 34825.726 ops/s
# Warmup Iteration   3: 34541.707 ops/s
# Warmup Iteration   4: 34610.042 ops/s
# Warmup Iteration   5: 35114.675 ops/s
# Warmup Iteration   6: 34940.244 ops/s
# Warmup Iteration   7: 35114.196 ops/s
# Warmup Iteration   8: 35116.656 ops/s
# Warmup Iteration   9: 34763.382 ops/s
# Warmup Iteration  10: 34975.901 ops/s
# Warmup Iteration  11: 34150.599 ops/s
# Warmup Iteration  12: 34438.860 ops/s
# Warmup Iteration  13: 34993.938 ops/s
# Warmup Iteration  14: 34941.282 ops/s
# Warmup Iteration  15: 34934.678 ops/s
# Warmup Iteration  16: 34746.914 ops/s
# Warmup Iteration  17: 34817.148 ops/s
# Warmup Iteration  18: 34248.388 ops/s
# Warmup Iteration  19: 34685.661 ops/s
# Warmup Iteration  20: 34627.074 ops/s
Iteration   1: 33942.747 ops/s
Iteration   2: 34738.977 ops/s
Iteration   3: 34767.417 ops/s
Iteration   4: 34574.662 ops/s
Iteration   5: 34739.540 ops/s
Iteration   6: 34579.133 ops/s
Iteration   7: 34817.152 ops/s
Iteration   8: 34812.526 ops/s
Iteration   9: 34136.729 ops/s
Iteration  10: 34736.437 ops/s
Iteration  11: 34467.200 ops/s
Iteration  12: 34732.818 ops/s
Iteration  13: 34763.186 ops/s
Iteration  14: 34177.541 ops/s
Iteration  15: 34736.856 ops/s
Iteration  16: 34547.555 ops/s
Iteration  17: 34778.567 ops/s
Iteration  18: 34126.262 ops/s
Iteration  19: 34685.551 ops/s
Iteration  20: 33695.914 ops/s

# Run progress: 27.50% complete, ETA 00:19:27
# Fork: 2 of 10
# Warmup Iteration   1: 32540.078 ops/s
# Warmup Iteration   2: 33839.879 ops/s
# Warmup Iteration   3: 34336.926 ops/s
# Warmup Iteration   4: 32202.354 ops/s
# Warmup Iteration   5: 34521.367 ops/s
# Warmup Iteration   6: 34577.675 ops/s
# Warmup Iteration   7: 34648.991 ops/s
# Warmup Iteration   8: 34070.924 ops/s
# Warmup Iteration   9: 34655.476 ops/s
# Warmup Iteration  10: 34006.793 ops/s
# Warmup Iteration  11: 33083.001 ops/s
# Warmup Iteration  12: 33944.013 ops/s
# Warmup Iteration  13: 34403.747 ops/s
# Warmup Iteration  14: 34678.509 ops/s
# Warmup Iteration  15: 34493.795 ops/s
# Warmup Iteration  16: 34399.200 ops/s
# Warmup Iteration  17: 33997.028 ops/s
# Warmup Iteration  18: 34257.492 ops/s
# Warmup Iteration  19: 34681.178 ops/s
# Warmup Iteration  20: 34623.132 ops/s
Iteration   1: 34275.946 ops/s
Iteration   2: 34193.667 ops/s
Iteration   3: 33991.282 ops/s
Iteration   4: 34732.733 ops/s
Iteration   5: 34712.551 ops/s
Iteration   6: 34588.779 ops/s
Iteration   7: 33894.710 ops/s
Iteration   8: 34499.869 ops/s
Iteration   9: 34385.646 ops/s
Iteration  10: 33104.977 ops/s
Iteration  11: 31846.871 ops/s
Iteration  12: 33888.383 ops/s
Iteration  13: 34543.796 ops/s
Iteration  14: 34609.611 ops/s
Iteration  15: 34622.472 ops/s
Iteration  16: 34265.443 ops/s
Iteration  17: 33435.425 ops/s
Iteration  18: 34464.971 ops/s
Iteration  19: 34626.501 ops/s
Iteration  20: 34528.536 ops/s

# Run progress: 30.00% complete, ETA 00:18:47
# Fork: 3 of 10
# Warmup Iteration   1: 33577.755 ops/s
# Warmup Iteration   2: 34157.809 ops/s
# Warmup Iteration   3: 34216.941 ops/s
# Warmup Iteration   4: 34497.044 ops/s
# Warmup Iteration   5: 34717.510 ops/s
# Warmup Iteration   6: 34594.013 ops/s
# Warmup Iteration   7: 34962.199 ops/s
# Warmup Iteration   8: 34992.268 ops/s
# Warmup Iteration   9: 34391.833 ops/s
# Warmup Iteration  10: 34861.789 ops/s
# Warmup Iteration  11: 34408.576 ops/s
# Warmup Iteration  12: 32319.054 ops/s
# Warmup Iteration  13: 35340.649 ops/s
# Warmup Iteration  14: 35313.533 ops/s
# Warmup Iteration  15: 34136.314 ops/s
# Warmup Iteration  16: 34044.146 ops/s
# Warmup Iteration  17: 35346.086 ops/s
# Warmup Iteration  18: 35362.126 ops/s
# Warmup Iteration  19: 35392.084 ops/s
# Warmup Iteration  20: 35102.664 ops/s
Iteration   1: 34876.543 ops/s
Iteration   2: 35060.721 ops/s
Iteration   3: 35231.321 ops/s
Iteration   4: 35145.853 ops/s
Iteration   5: 35141.883 ops/s
Iteration   6: 35037.079 ops/s
Iteration   7: 34742.147 ops/s
Iteration   8: 35139.236 ops/s
Iteration   9: 34641.448 ops/s
Iteration  10: 34959.290 ops/s
Iteration  11: 34223.432 ops/s
Iteration  12: 34433.078 ops/s
Iteration  13: 34942.274 ops/s
Iteration  14: 35497.358 ops/s
Iteration  15: 35419.479 ops/s
Iteration  16: 34999.799 ops/s
Iteration  17: 35587.465 ops/s
Iteration  18: 35427.062 ops/s
Iteration  19: 35507.513 ops/s
Iteration  20: 35398.961 ops/s

# Run progress: 32.50% complete, ETA 00:18:07
# Fork: 4 of 10
# Warmup Iteration   1: 33983.922 ops/s
# Warmup Iteration   2: 35298.096 ops/s
# Warmup Iteration   3: 35505.035 ops/s
# Warmup Iteration   4: 35461.552 ops/s
# Warmup Iteration   5: 35071.204 ops/s
# Warmup Iteration   6: 35545.299 ops/s
# Warmup Iteration   7: 35562.399 ops/s
# Warmup Iteration   8: 35610.976 ops/s
# Warmup Iteration   9: 35504.791 ops/s
# Warmup Iteration  10: 35242.559 ops/s
# Warmup Iteration  11: 35373.746 ops/s
# Warmup Iteration  12: 35582.100 ops/s
# Warmup Iteration  13: 35570.142 ops/s
# Warmup Iteration  14: 35454.858 ops/s
# Warmup Iteration  15: 35198.242 ops/s
# Warmup Iteration  16: 35531.195 ops/s
# Warmup Iteration  17: 35088.774 ops/s
# Warmup Iteration  18: 35086.087 ops/s
# Warmup Iteration  19: 35023.285 ops/s
# Warmup Iteration  20: 34685.905 ops/s
Iteration   1: 35059.109 ops/s
Iteration   2: 35071.946 ops/s
Iteration   3: 35056.737 ops/s
Iteration   4: 35028.614 ops/s
Iteration   5: 34751.919 ops/s
Iteration   6: 35081.662 ops/s
Iteration   7: 34920.600 ops/s
Iteration   8: 35026.731 ops/s
Iteration   9: 34994.187 ops/s
Iteration  10: 34720.386 ops/s
Iteration  11: 35048.711 ops/s
Iteration  12: 34929.642 ops/s
Iteration  13: 35109.209 ops/s
Iteration  14: 35027.801 ops/s
Iteration  15: 34806.828 ops/s
Iteration  16: 35100.709 ops/s
Iteration  17: 35071.561 ops/s
Iteration  18: 35038.572 ops/s
Iteration  19: 35009.947 ops/s
Iteration  20: 34712.623 ops/s

# Run progress: 35.00% complete, ETA 00:17:27
# Fork: 5 of 10
# Warmup Iteration   1: 32150.275 ops/s
# Warmup Iteration   2: 32029.769 ops/s
# Warmup Iteration   3: 35571.120 ops/s
# Warmup Iteration   4: 35553.556 ops/s
# Warmup Iteration   5: 35464.969 ops/s
# Warmup Iteration   6: 35570.395 ops/s
# Warmup Iteration   7: 33639.753 ops/s
# Warmup Iteration   8: 26158.293 ops/s
# Warmup Iteration   9: 35651.478 ops/s
# Warmup Iteration  10: 34687.116 ops/s
# Warmup Iteration  11: 35244.349 ops/s
# Warmup Iteration  12: 35685.208 ops/s
# Warmup Iteration  13: 33468.271 ops/s
# Warmup Iteration  14: 33519.494 ops/s
# Warmup Iteration  15: 35401.555 ops/s
# Warmup Iteration  16: 35653.417 ops/s
# Warmup Iteration  17: 35583.549 ops/s
# Warmup Iteration  18: 35598.199 ops/s
# Warmup Iteration  19: 31458.446 ops/s
# Warmup Iteration  20: 33309.622 ops/s
Iteration   1: 35651.625 ops/s
Iteration   2: 35594.724 ops/s
Iteration   3: 35606.161 ops/s
Iteration   4: 35364.822 ops/s
Iteration   5: 32466.765 ops/s
Iteration   6: 35487.007 ops/s
Iteration   7: 35580.542 ops/s
Iteration   8: 35374.352 ops/s
Iteration   9: 35392.856 ops/s
Iteration  10: 35313.889 ops/s
Iteration  11: 35487.543 ops/s
Iteration  12: 35383.651 ops/s
Iteration  13: 35487.638 ops/s
Iteration  14: 35505.210 ops/s
